Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Ekskogen;98630;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1951-02-01 06:00:01;1951-02-02 06:00:00;1951-02-01;0.0;G
1951-02-02 06:00:01;1951-02-03 06:00:00;1951-02-02;0.0;G
1951-02-03 06:00:01;1951-02-04 06:00:00;1951-02-03;0.0;G
1951-02-04 06:00:01;1951-02-05 06:00:00;1951-02-04;0.0;G
1951-02-05 06:00:01;1951-02-06 06:00:00;1951-02-05;0.0;G
1951-02-06 06:00:01;1951-02-07 06:00:00;1951-02-06;3.8;G
1951-02-07 06:00:01;1951-02-08 06:00:00;1951-02-07;0.0;G
1951-02-08 06:00:01;1951-02-09 06:00:00;1951-02-08;3.1;G
1951-02-09 06:00:01;1951-02-10 06:00:00;1951-02-09;1.7;G
1951-02-10 06:00:01;1951-02-11 06:00:00;1951-02-10;1.3;G
1951-02-11 06:00:01;1951-02-12 06:00:00;1951-02-11;0.4;G
1951-02-12 06:00:01;1951-02-13 06:00:00;1951-02-12;0.0;G
1951-02-13 06:00:01;1951-02-14 06:00:00;1951-02-13;0.0;G
1951-02-14 06:00:01;1951-02-15 06:00:00;1951-02-14;0.0;G
1951-02-15 06:00:01;1951-02-16 06:00:00;1951-02-15;0.0;G
1951-02-16 06:00:01;1951-02-17 06:00:00;1951-02-16;0.0;G
1951-02-17 06:00:01;1951-02-18 06:00:00;1951-02-17;0.0;G
1951-02-18 06:00:01;1951-02-19 06:00:00;1951-02-18;2.3;G
1951-02-19 06:00:01;1951-02-20 06:00:00;1951-02-19;0.0;G
1951-02-20 06:00:01;1951-02-21 06:00:00;1951-02-20;0.0;G
1951-02-21 06:00:01;1951-02-22 06:00:00;1951-02-21;3.8;G
1951-02-22 06:00:01;1951-02-23 06:00:00;1951-02-22;2.7;G
1951-02-23 06:00:01;1951-02-24 06:00:00;1951-02-23;1.0;G
1951-02-24 06:00:01;1951-02-25 06:00:00;1951-02-24;0.3;G
1951-02-25 06:00:01;1951-02-26 06:00:00;1951-02-25;0.2;G
1951-02-26 06:00:01;1951-02-27 06:00:00;1951-02-26;0.0;G
1951-02-27 06:00:01;1951-02-28 06:00:00;1951-02-27;0.0;G
1951-02-28 06:00:01;1951-03-01 06:00:00;1951-02-28;0.0;G
1951-03-01 06:00:01;1951-03-02 06:00:00;1951-03-01;0.0;G
1951-03-02 06:00:01;1951-03-03 06:00:00;1951-03-02;0.0;G
1951-03-03 06:00:01;1951-03-04 06:00:00;1951-03-03;0.0;G
1951-03-04 06:00:01;1951-03-05 06:00:00;1951-03-04;0.0;G
1951-03-05 06:00:01;1951-03-06 06:00:00;1951-03-05;0.0;G
1951-03-06 06:00:01;1951-03-07 06:00:00;1951-03-06;0.0;G
1951-03-07 06:00:01;1951-03-08 06:00:00;1951-03-07;0.0;G
1951-03-08 06:00:01;1951-03-09 06:00:00;1951-03-08;0.0;G
1951-03-09 06:00:01;1951-03-10 06:00:00;1951-03-09;0.0;G
1951-03-10 06:00:01;1951-03-11 06:00:00;1951-03-10;0.0;G
1951-03-11 06:00:01;1951-03-12 06:00:00;1951-03-11;0.0;G
1951-03-12 06:00:01;1951-03-13 06:00:00;1951-03-12;0.0;G
1951-03-13 06:00:01;1951-03-14 06:00:00;1951-03-13;0.0;G
1951-03-14 06:00:01;1951-03-15 06:00:00;1951-03-14;9.4;G
1951-03-15 06:00:01;1951-03-16 06:00:00;1951-03-15;3.3;G
1951-03-16 06:00:01;1951-03-17 06:00:00;1951-03-16;0.0;G
1951-03-17 06:00:01;1951-03-18 06:00:00;1951-03-17;0.0;G
1951-03-18 06:00:01;1951-03-19 06:00:00;1951-03-18;0.0;G
1951-03-19 06:00:01;1951-03-20 06:00:00;1951-03-19;3.8;G
1951-03-20 06:00:01;1951-03-21 06:00:00;1951-03-20;9.9;G
1951-03-21 06:00:01;1951-03-22 06:00:00;1951-03-21;0.0;G
1951-03-22 06:00:01;1951-03-23 06:00:00;1951-03-22;0.0;G
1951-03-23 06:00:01;1951-03-24 06:00:00;1951-03-23;7.7;G
1951-03-24 06:00:01;1951-03-25 06:00:00;1951-03-24;0.0;G
1951-03-25 06:00:01;1951-03-26 06:00:00;1951-03-25;0.0;G
1951-03-26 06:00:01;1951-03-27 06:00:00;1951-03-26;6.3;G
1951-03-27 06:00:01;1951-03-28 06:00:00;1951-03-27;0.0;G
1951-03-28 06:00:01;1951-03-29 06:00:00;1951-03-28;0.0;G
1951-03-29 06:00:01;1951-03-30 06:00:00;1951-03-29;0.0;G
1951-03-30 06:00:01;1951-03-31 06:00:00;1951-03-30;0.0;G
1951-03-31 06:00:01;1951-04-01 06:00:00;1951-03-31;0.0;G
1951-04-01 06:00:01;1951-04-02 06:00:00;1951-04-01;0.0;G
1951-04-02 06:00:01;1951-04-03 06:00:00;1951-04-02;0.0;G
1951-04-03 06:00:01;1951-04-04 06:00:00;1951-04-03;0.0;G
1951-04-04 06:00:01;1951-04-05 06:00:00;1951-04-04;4.9;G
1951-04-05 06:00:01;1951-04-06 06:00:00;1951-04-05;0.0;G
1951-04-06 06:00:01;1951-04-07 06:00:00;1951-04-06;0.0;G
1951-04-07 06:00:01;1951-04-08 06:00:00;1951-04-07;4.8;G
1951-04-08 06:00:01;1951-04-09 06:00:00;1951-04-08;0.0;G
1951-04-09 06:00:01;1951-04-10 06:00:00;1951-04-09;0.0;G
1951-04-10 06:00:01;1951-04-11 06:00:00;1951-04-10;0.0;G
1951-04-11 06:00:01;1951-04-12 06:00:00;1951-04-11;0.0;G
1951-04-12 06:00:01;1951-04-13 06:00:00;1951-04-12;0.0;G
1951-04-13 06:00:01;1951-04-14 06:00:00;1951-04-13;0.0;G
1951-04-14 06:00:01;1951-04-15 06:00:00;1951-04-14;0.0;G
1951-04-15 06:00:01;1951-04-16 06:00:00;1951-04-15;0.0;G
1951-04-16 06:00:01;1951-04-17 06:00:00;1951-04-16;10.3;G
1951-04-17 06:00:01;1951-04-18 06:00:00;1951-04-17;0.0;G
1951-04-18 06:00:01;1951-04-19 06:00:00;1951-04-18;4.9;G
1951-04-19 06:00:01;1951-04-20 06:00:00;1951-04-19;0.0;G
1951-04-24 06:00:01;1951-04-25 06:00:00;1951-04-24;0.0;G
1951-04-25 06:00:01;1951-04-26 06:00:00;1951-04-25;0.0;G
1951-04-26 06:00:01;1951-04-27 06:00:00;1951-04-26;0.0;G
1951-04-27 06:00:01;1951-04-28 06:00:00;1951-04-27;0.0;G
1951-04-28 06:00:01;1951-04-29 06:00:00;1951-04-28;0.0;G
1951-04-29 06:00:01;1951-04-30 06:00:00;1951-04-29;1.0;G
1951-04-30 06:00:01;1951-05-01 06:00:00;1951-04-30;0.0;G
1951-05-01 06:00:01;1951-05-02 06:00:00;1951-05-01;9.3;G
1951-05-02 06:00:01;1951-05-03 06:00:00;1951-05-02;0.0;G
1951-05-03 06:00:01;1951-05-04 06:00:00;1951-05-03;0.0;G
1951-05-04 06:00:01;1951-05-05 06:00:00;1951-05-04;0.0;G
1951-05-05 06:00:01;1951-05-06 06:00:00;1951-05-05;0.0;G
1951-05-06 06:00:01;1951-05-07 06:00:00;1951-05-06;0.0;G
1951-05-07 06:00:01;1951-05-08 06:00:00;1951-05-07;0.0;G
1951-05-08 06:00:01;1951-05-09 06:00:00;1951-05-08;0.0;G
1951-05-09 06:00:01;1951-05-10 06:00:00;1951-05-09;0.0;G
1951-05-10 06:00:01;1951-05-11 06:00:00;1951-05-10;0.0;G
1951-05-11 06:00:01;1951-05-12 06:00:00;1951-05-11;0.0;G
1951-05-12 06:00:01;1951-05-13 06:00:00;1951-05-12;0.0;G
1951-05-13 06:00:01;1951-05-14 06:00:00;1951-05-13;0.0;G
1951-05-14 06:00:01;1951-05-15 06:00:00;1951-05-14;0.0;G
1951-05-15 06:00:01;1951-05-16 06:00:00;1951-05-15;0.0;G
1951-05-16 06:00:01;1951-05-17 06:00:00;1951-05-16;0.0;G
1951-05-17 06:00:01;1951-05-18 06:00:00;1951-05-17;0.0;G
1951-05-18 06:00:01;1951-05-19 06:00:00;1951-05-18;0.0;G
1951-05-19 06:00:01;1951-05-20 06:00:00;1951-05-19;0.0;G
1951-05-20 06:00:01;1951-05-21 06:00:00;1951-05-20;0.0;G
1951-05-21 06:00:01;1951-05-22 06:00:00;1951-05-21;0.0;G
1951-05-22 06:00:01;1951-05-23 06:00:00;1951-05-22;0.0;G
1951-05-23 06:00:01;1951-05-24 06:00:00;1951-05-23;0.0;G
1951-05-24 06:00:01;1951-05-25 06:00:00;1951-05-24;0.0;G
1951-05-25 06:00:01;1951-05-26 06:00:00;1951-05-25;0.0;G
1951-05-26 06:00:01;1951-05-27 06:00:00;1951-05-26;0.0;G
1951-05-27 06:00:01;1951-05-28 06:00:00;1951-05-27;0.0;G
1951-05-28 06:00:01;1951-05-29 06:00:00;1951-05-28;0.0;G
1951-05-29 06:00:01;1951-05-30 06:00:00;1951-05-29;0.0;G
1951-05-30 06:00:01;1951-05-31 06:00:00;1951-05-30;0.0;G
1951-05-31 06:00:01;1951-06-01 06:00:00;1951-05-31;0.0;G
1951-06-01 06:00:01;1951-06-02 06:00:00;1951-06-01;0.0;G
1951-06-02 06:00:01;1951-06-03 06:00:00;1951-06-02;0.0;G
1951-06-03 06:00:01;1951-06-04 06:00:00;1951-06-03;0.0;G
1951-06-04 06:00:01;1951-06-05 06:00:00;1951-06-04;0.0;G
1951-06-05 06:00:01;1951-06-06 06:00:00;1951-06-05;0.0;G
1951-06-06 06:00:01;1951-06-07 06:00:00;1951-06-06;0.0;G
1951-06-07 06:00:01;1951-06-08 06:00:00;1951-06-07;0.0;G
1951-06-08 06:00:01;1951-06-09 06:00:00;1951-06-08;0.0;G
1951-06-09 06:00:01;1951-06-10 06:00:00;1951-06-09;0.0;G
1951-06-10 06:00:01;1951-06-11 06:00:00;1951-06-10;0.0;G
1951-06-11 06:00:01;1951-06-12 06:00:00;1951-06-11;6.1;G
1951-06-12 06:00:01;1951-06-13 06:00:00;1951-06-12;0.0;G
1951-06-13 06:00:01;1951-06-14 06:00:00;1951-06-13;5.0;G
1951-06-14 06:00:01;1951-06-15 06:00:00;1951-06-14;0.0;G
1951-06-15 06:00:01;1951-06-16 06:00:00;1951-06-15;0.0;G
1951-06-16 06:00:01;1951-06-17 06:00:00;1951-06-16;0.0;G
1951-06-17 06:00:01;1951-06-18 06:00:00;1951-06-17;0.0;G
1951-06-18 06:00:01;1951-06-19 06:00:00;1951-06-18;0.0;G
1951-06-19 06:00:01;1951-06-20 06:00:00;1951-06-19;0.0;G
1951-06-20 06:00:01;1951-06-21 06:00:00;1951-06-20;0.0;G
1951-06-21 06:00:01;1951-06-22 06:00:00;1951-06-21;0.0;G
1951-06-22 06:00:01;1951-06-23 06:00:00;1951-06-22;0.0;G
1951-06-23 06:00:01;1951-06-24 06:00:00;1951-06-23;0.0;G
1951-06-24 06:00:01;1951-06-25 06:00:00;1951-06-24;0.0;G
1951-06-25 06:00:01;1951-06-26 06:00:00;1951-06-25;5.3;G
1951-06-26 06:00:01;1951-06-27 06:00:00;1951-06-26;0.0;G
1951-06-27 06:00:01;1951-06-28 06:00:00;1951-06-27;0.0;G
1951-06-28 06:00:01;1951-06-29 06:00:00;1951-06-28;32.0;G
1951-06-29 06:00:01;1951-06-30 06:00:00;1951-06-29;0.0;G
1951-06-30 06:00:01;1951-07-01 06:00:00;1951-06-30;0.0;G
1951-07-01 06:00:01;1951-07-02 06:00:00;1951-07-01;0.0;G
1951-07-02 06:00:01;1951-07-03 06:00:00;1951-07-02;4.0;G
1951-07-03 06:00:01;1951-07-04 06:00:00;1951-07-03;14.0;G
1951-07-04 06:00:01;1951-07-05 06:00:00;1951-07-04;0.0;G
1951-07-05 06:00:01;1951-07-06 06:00:00;1951-07-05;0.0;G
1951-07-06 06:00:01;1951-07-07 06:00:00;1951-07-06;0.0;G
1951-07-07 06:00:01;1951-07-08 06:00:00;1951-07-07;13.0;G
1951-07-08 06:00:01;1951-07-09 06:00:00;1951-07-08;0.0;G
1951-07-09 06:00:01;1951-07-10 06:00:00;1951-07-09;10.1;G
1951-07-10 06:00:01;1951-07-11 06:00:00;1951-07-10;2.0;G
1951-07-11 06:00:01;1951-07-12 06:00:00;1951-07-11;0.0;G
1951-07-12 06:00:01;1951-07-13 06:00:00;1951-07-12;0.0;G
1951-07-13 06:00:01;1951-07-14 06:00:00;1951-07-13;0.0;G
1951-07-14 06:00:01;1951-07-15 06:00:00;1951-07-14;0.0;G
1951-07-15 06:00:01;1951-07-16 06:00:00;1951-07-15;0.0;G
1951-07-16 06:00:01;1951-07-17 06:00:00;1951-07-16;0.0;G
1951-07-17 06:00:01;1951-07-18 06:00:00;1951-07-17;0.0;G
1951-07-18 06:00:01;1951-07-19 06:00:00;1951-07-18;1.8;G
1951-07-19 06:00:01;1951-07-20 06:00:00;1951-07-19;0.0;G
1951-07-20 06:00:01;1951-07-21 06:00:00;1951-07-20;0.0;G
1951-07-21 06:00:01;1951-07-22 06:00:00;1951-07-21;0.0;G
1951-07-22 06:00:01;1951-07-23 06:00:00;1951-07-22;0.0;G
1951-07-23 06:00:01;1951-07-24 06:00:00;1951-07-23;0.0;G
1951-07-24 06:00:01;1951-07-25 06:00:00;1951-07-24;0.0;G
1951-07-25 06:00:01;1951-07-26 06:00:00;1951-07-25;0.0;G
1951-07-26 06:00:01;1951-07-27 06:00:00;1951-07-26;0.0;G
1951-07-27 06:00:01;1951-07-28 06:00:00;1951-07-27;0.0;G
1951-07-28 06:00:01;1951-07-29 06:00:00;1951-07-28;0.0;G
1951-07-29 06:00:01;1951-07-30 06:00:00;1951-07-29;0.0;G
1951-07-30 06:00:01;1951-07-31 06:00:00;1951-07-30;5.0;G
1951-07-31 06:00:01;1951-08-01 06:00:00;1951-07-31;0.0;G
1951-08-01 06:00:01;1951-08-02 06:00:00;1951-08-01;0.0;G
1951-08-02 06:00:01;1951-08-03 06:00:00;1951-08-02;88.5;G
1951-08-03 06:00:01;1951-08-04 06:00:00;1951-08-03;0.0;G
1951-08-04 06:00:01;1951-08-05 06:00:00;1951-08-04;0.0;G
1951-08-05 06:00:01;1951-08-06 06:00:00;1951-08-05;0.0;G
1951-08-06 06:00:01;1951-08-07 06:00:00;1951-08-06;0.0;G
1951-08-07 06:00:01;1951-08-08 06:00:00;1951-08-07;0.0;G
1951-08-08 06:00:01;1951-08-09 06:00:00;1951-08-08;0.0;G
1951-08-09 06:00:01;1951-08-10 06:00:00;1951-08-09;30.0;G
1951-08-10 06:00:01;1951-08-11 06:00:00;1951-08-10;0.0;G
1951-08-11 06:00:01;1951-08-12 06:00:00;1951-08-11;0.5;G
1951-08-12 06:00:01;1951-08-13 06:00:00;1951-08-12;0.0;G
1951-08-13 06:00:01;1951-08-14 06:00:00;1951-08-13;0.0;G
1951-08-14 06:00:01;1951-08-15 06:00:00;1951-08-14;0.0;G
1951-08-15 06:00:01;1951-08-16 06:00:00;1951-08-15;0.0;G
1951-08-16 06:00:01;1951-08-17 06:00:00;1951-08-16;3.5;G
1951-09-01 06:00:01;1951-09-02 06:00:00;1951-09-01;0.0;G
1951-09-02 06:00:01;1951-09-03 06:00:00;1951-09-02;1.0;G
1951-09-03 06:00:01;1951-09-04 06:00:00;1951-09-03;0.0;G
1951-09-04 06:00:01;1951-09-05 06:00:00;1951-09-04;0.0;G
1951-09-05 06:00:01;1951-09-06 06:00:00;1951-09-05;0.0;G
1951-09-06 06:00:01;1951-09-07 06:00:00;1951-09-06;0.0;G
1951-09-07 06:00:01;1951-09-08 06:00:00;1951-09-07;0.0;G
1951-09-08 06:00:01;1951-09-09 06:00:00;1951-09-08;0.0;G
1951-09-09 06:00:01;1951-09-10 06:00:00;1951-09-09;0.0;G
1951-09-10 06:00:01;1951-09-11 06:00:00;1951-09-10;0.0;G
1951-09-11 06:00:01;1951-09-12 06:00:00;1951-09-11;0.0;G
1951-09-12 06:00:01;1951-09-13 06:00:00;1951-09-12;0.0;G
1951-09-13 06:00:01;1951-09-14 06:00:00;1951-09-13;0.0;G
1951-09-16 06:00:01;1951-09-17 06:00:00;1951-09-16;0.0;G
1951-09-17 06:00:01;1951-09-18 06:00:00;1951-09-17;0.0;G
1951-09-18 06:00:01;1951-09-19 06:00:00;1951-09-18;10.0;G
1951-09-19 06:00:01;1951-09-20 06:00:00;1951-09-19;18.0;G
1951-09-20 06:00:01;1951-09-21 06:00:00;1951-09-20;0.0;G
1951-09-21 06:00:01;1951-09-22 06:00:00;1951-09-21;0.0;G
1951-09-22 06:00:01;1951-09-23 06:00:00;1951-09-22;0.0;G
1951-09-23 06:00:01;1951-09-24 06:00:00;1951-09-23;0.0;G
1951-09-24 06:00:01;1951-09-25 06:00:00;1951-09-24;0.0;G
1951-09-25 06:00:01;1951-09-26 06:00:00;1951-09-25;0.0;G
1951-09-26 06:00:01;1951-09-27 06:00:00;1951-09-26;1.0;G
1951-09-27 06:00:01;1951-09-28 06:00:00;1951-09-27;0.0;G
1951-09-28 06:00:01;1951-09-29 06:00:00;1951-09-28;0.0;G
1951-09-29 06:00:01;1951-09-30 06:00:00;1951-09-29;0.0;G
1951-09-30 06:00:01;1951-10-01 06:00:00;1951-09-30;0.0;G
1951-10-01 06:00:01;1951-10-02 06:00:00;1951-10-01;0.0;G
1951-10-02 06:00:01;1951-10-03 06:00:00;1951-10-02;0.0;G
1951-10-03 06:00:01;1951-10-04 06:00:00;1951-10-03;0.0;G
1951-10-04 06:00:01;1951-10-05 06:00:00;1951-10-04;0.0;G
1951-10-05 06:00:01;1951-10-06 06:00:00;1951-10-05;0.0;G
1951-10-06 06:00:01;1951-10-07 06:00:00;1951-10-06;0.0;G
1951-10-07 06:00:01;1951-10-08 06:00:00;1951-10-07;0.0;G
1951-10-08 06:00:01;1951-10-09 06:00:00;1951-10-08;0.0;G
1951-10-09 06:00:01;1951-10-10 06:00:00;1951-10-09;0.0;G
1951-10-10 06:00:01;1951-10-11 06:00:00;1951-10-10;0.0;G
1951-10-11 06:00:01;1951-10-12 06:00:00;1951-10-11;0.0;G
1951-10-12 06:00:01;1951-10-13 06:00:00;1951-10-12;0.0;G
1951-10-13 06:00:01;1951-10-14 06:00:00;1951-10-13;0.0;G
1951-10-14 06:00:01;1951-10-15 06:00:00;1951-10-14;0.0;G
1951-10-15 06:00:01;1951-10-16 06:00:00;1951-10-15;0.0;G
1951-10-16 06:00:01;1951-10-17 06:00:00;1951-10-16;0.0;G
1951-10-17 06:00:01;1951-10-18 06:00:00;1951-10-17;0.0;G
1951-10-18 06:00:01;1951-10-19 06:00:00;1951-10-18;0.0;G
1951-10-19 06:00:01;1951-10-20 06:00:00;1951-10-19;0.0;G
1951-10-20 06:00:01;1951-10-21 06:00:00;1951-10-20;0.0;G
1951-10-21 06:00:01;1951-10-22 06:00:00;1951-10-21;0.0;G
1951-10-22 06:00:01;1951-10-23 06:00:00;1951-10-22;0.0;G
1951-10-23 06:00:01;1951-10-24 06:00:00;1951-10-23;0.0;G
1951-10-24 06:00:01;1951-10-25 06:00:00;1951-10-24;0.0;G
1951-10-25 06:00:01;1951-10-26 06:00:00;1951-10-25;0.0;G
1951-10-26 06:00:01;1951-10-27 06:00:00;1951-10-26;0.0;G
1951-10-27 06:00:01;1951-10-28 06:00:00;1951-10-27;0.0;G
1951-10-28 06:00:01;1951-10-29 06:00:00;1951-10-28;0.0;G
1951-10-29 06:00:01;1951-10-30 06:00:00;1951-10-29;0.0;G
1951-10-30 06:00:01;1951-10-31 06:00:00;1951-10-30;0.0;G
1951-10-31 06:00:01;1951-11-01 06:00:00;1951-10-31;4.1;G
1951-11-01 06:00:01;1951-11-02 06:00:00;1951-11-01;0.0;G
1951-11-02 06:00:01;1951-11-03 06:00:00;1951-11-02;0.0;G
1951-11-03 06:00:01;1951-11-04 06:00:00;1951-11-03;0.0;G
1951-11-04 06:00:01;1951-11-05 06:00:00;1951-11-04;0.0;G
1951-11-05 06:00:01;1951-11-06 06:00:00;1951-11-05;0.0;G
1951-11-06 06:00:01;1951-11-07 06:00:00;1951-11-06;3.1;G
1951-11-07 06:00:01;1951-11-08 06:00:00;1951-11-07;0.3;G
1951-11-08 06:00:01;1951-11-09 06:00:00;1951-11-08;0.0;G
1951-11-09 06:00:01;1951-11-10 06:00:00;1951-11-09;0.0;G
1951-11-10 06:00:01;1951-11-11 06:00:00;1951-11-10;2.0;G
1951-11-11 06:00:01;1951-11-12 06:00:00;1951-11-11;0.0;G
1951-11-12 06:00:01;1951-11-13 06:00:00;1951-11-12;0.0;G
1951-11-13 06:00:01;1951-11-14 06:00:00;1951-11-13;0.0;G
1951-11-14 06:00:01;1951-11-15 06:00:00;1951-11-14;0.0;G
1951-11-15 06:00:01;1951-11-16 06:00:00;1951-11-15;9.3;G
1951-11-16 06:00:01;1951-11-17 06:00:00;1951-11-16;12.3;G
1951-11-17 06:00:01;1951-11-18 06:00:00;1951-11-17;0.0;G
1951-11-18 06:00:01;1951-11-19 06:00:00;1951-11-18;0.0;G
1951-11-19 06:00:01;1951-11-20 06:00:00;1951-11-19;0.0;G
1951-11-20 06:00:01;1951-11-21 06:00:00;1951-11-20;0.0;G
1951-11-21 06:00:01;1951-11-22 06:00:00;1951-11-21;0.0;G
1951-11-22 06:00:01;1951-11-23 06:00:00;1951-11-22;0.0;G
1951-11-23 06:00:01;1951-11-24 06:00:00;1951-11-23;0.0;G
1951-11-24 06:00:01;1951-11-25 06:00:00;1951-11-24;10.0;G
1951-11-25 06:00:01;1951-11-26 06:00:00;1951-11-25;5.1;G
1951-11-26 06:00:01;1951-11-27 06:00:00;1951-11-26;0.0;G
1951-11-27 06:00:01;1951-11-28 06:00:00;1951-11-27;7.0;G
1951-11-28 06:00:01;1951-11-29 06:00:00;1951-11-28;0.0;G
1951-11-29 06:00:01;1951-11-30 06:00:00;1951-11-29;0.0;G
1951-11-30 06:00:01;1951-12-01 06:00:00;1951-11-30;0.0;G
1951-12-01 06:00:01;1951-12-02 06:00:00;1951-12-01;0.0;G
1951-12-02 06:00:01;1951-12-03 06:00:00;1951-12-02;0.0;G
1951-12-03 06:00:01;1951-12-04 06:00:00;1951-12-03;0.0;G
1951-12-04 06:00:01;1951-12-05 06:00:00;1951-12-04;13.1;G
1951-12-05 06:00:01;1951-12-06 06:00:00;1951-12-05;0.0;G
1951-12-06 06:00:01;1951-12-07 06:00:00;1951-12-06;0.0;G
1951-12-07 06:00:01;1951-12-08 06:00:00;1951-12-07;0.0;G
1951-12-08 06:00:01;1951-12-09 06:00:00;1951-12-08;4.3;G
1951-12-09 06:00:01;1951-12-10 06:00:00;1951-12-09;2.8;G
1951-12-10 06:00:01;1951-12-11 06:00:00;1951-12-10;0.0;G
1951-12-11 06:00:01;1951-12-12 06:00:00;1951-12-11;0.0;G
1951-12-12 06:00:01;1951-12-13 06:00:00;1951-12-12;0.0;G
1951-12-13 06:00:01;1951-12-14 06:00:00;1951-12-13;0.0;G
1951-12-14 06:00:01;1951-12-15 06:00:00;1951-12-14;0.0;G
1951-12-15 06:00:01;1951-12-16 06:00:00;1951-12-15;0.0;G
1951-12-16 06:00:01;1951-12-17 06:00:00;1951-12-16;0.0;G
1951-12-17 06:00:01;1951-12-18 06:00:00;1951-12-17;0.0;G
1951-12-18 06:00:01;1951-12-19 06:00:00;1951-12-18;0.0;G
1951-12-19 06:00:01;1951-12-20 06:00:00;1951-12-19;0.0;G
1951-12-20 06:00:01;1951-12-21 06:00:00;1951-12-20;0.0;G
1951-12-21 06:00:01;1951-12-22 06:00:00;1951-12-21;0.0;G
1951-12-22 06:00:01;1951-12-23 06:00:00;1951-12-22;0.0;G
1951-12-23 06:00:01;1951-12-24 06:00:00;1951-12-23;0.0;G
1951-12-24 06:00:01;1951-12-25 06:00:00;1951-12-24;0.0;G
1951-12-25 06:00:01;1951-12-26 06:00:00;1951-12-25;0.0;G
1951-12-26 06:00:01;1951-12-27 06:00:00;1951-12-26;0.0;G
1951-12-27 06:00:01;1951-12-28 06:00:00;1951-12-27;0.0;G
1951-12-28 06:00:01;1951-12-29 06:00:00;1951-12-28;0.0;G
1951-12-29 06:00:01;1951-12-30 06:00:00;1951-12-29;0.0;G
1951-12-30 06:00:01;1951-12-31 06:00:00;1951-12-30;0.0;G
1951-12-31 06:00:01;1952-01-01 06:00:00;1951-12-31;2.0;G
1952-01-01 06:00:01;1952-01-02 06:00:00;1952-01-01;3.0;G
1952-01-02 06:00:01;1952-01-03 06:00:00;1952-01-02;0.6;G
1952-01-03 06:00:01;1952-01-04 06:00:00;1952-01-03;0.0;G
1952-01-04 06:00:01;1952-01-05 06:00:00;1952-01-04;0.0;G
1952-01-05 06:00:01;1952-01-06 06:00:00;1952-01-05;0.0;G
1952-01-06 06:00:01;1952-01-07 06:00:00;1952-01-06;0.0;G
1952-01-07 06:00:01;1952-01-08 06:00:00;1952-01-07;0.0;G
1952-01-08 06:00:01;1952-01-09 06:00:00;1952-01-08;0.0;G
1952-01-09 06:00:01;1952-01-10 06:00:00;1952-01-09;0.0;G
1952-01-10 06:00:01;1952-01-11 06:00:00;1952-01-10;0.0;G
1952-01-11 06:00:01;1952-01-12 06:00:00;1952-01-11;0.0;G
1952-01-12 06:00:01;1952-01-13 06:00:00;1952-01-12;0.0;G
1952-01-13 06:00:01;1952-01-14 06:00:00;1952-01-13;0.0;G
1952-01-14 06:00:01;1952-01-15 06:00:00;1952-01-14;0.0;G
1952-01-15 06:00:01;1952-01-16 06:00:00;1952-01-15;0.0;G
1952-01-16 06:00:01;1952-01-17 06:00:00;1952-01-16;0.0;G
1952-01-17 06:00:01;1952-01-18 06:00:00;1952-01-17;0.0;G
1952-01-18 06:00:01;1952-01-19 06:00:00;1952-01-18;7.1;G
1952-01-19 06:00:01;1952-01-20 06:00:00;1952-01-19;0.3;G
1952-01-20 06:00:01;1952-01-21 06:00:00;1952-01-20;0.0;G
1952-01-21 06:00:01;1952-01-22 06:00:00;1952-01-21;0.0;G
1952-01-22 06:00:01;1952-01-23 06:00:00;1952-01-22;0.0;G
1952-01-23 06:00:01;1952-01-24 06:00:00;1952-01-23;0.0;G
1952-01-24 06:00:01;1952-01-25 06:00:00;1952-01-24;0.0;G
1952-01-25 06:00:01;1952-01-26 06:00:00;1952-01-25;0.0;G
1952-01-26 06:00:01;1952-01-27 06:00:00;1952-01-26;0.0;G
1952-01-27 06:00:01;1952-01-28 06:00:00;1952-01-27;0.0;G
1952-01-28 06:00:01;1952-01-29 06:00:00;1952-01-28;0.0;G
1952-01-29 06:00:01;1952-01-30 06:00:00;1952-01-29;0.0;G
1952-01-30 06:00:01;1952-01-31 06:00:00;1952-01-30;0.0;G
1952-01-31 06:00:01;1952-02-01 06:00:00;1952-01-31;0.0;G
1952-02-01 06:00:01;1952-02-02 06:00:00;1952-02-01;6.3;G
1952-02-02 06:00:01;1952-02-03 06:00:00;1952-02-02;0.0;G
1952-02-03 06:00:01;1952-02-04 06:00:00;1952-02-03;0.0;G
1952-02-04 06:00:01;1952-02-05 06:00:00;1952-02-04;0.0;G
1952-02-05 06:00:01;1952-02-06 06:00:00;1952-02-05;0.0;G
1952-02-06 06:00:01;1952-02-07 06:00:00;1952-02-06;0.0;G
1952-02-07 06:00:01;1952-02-08 06:00:00;1952-02-07;3.1;G
1952-02-08 06:00:01;1952-02-09 06:00:00;1952-02-08;0.0;G
1952-02-09 06:00:01;1952-02-10 06:00:00;1952-02-09;0.0;G
1952-02-10 06:00:01;1952-02-11 06:00:00;1952-02-10;0.0;G
